Object Kind,Name,Pin Designator,Electrical Type,X1,Y1
Pin,GNDINT,H7,Passive,0,0
Pin,GNDINT,H9,Passive,0,-100
Pin,GNDINT,J10,Passive,0,-200
Pin,GNDINT,J8,Passive,0,-300
Pin,GNDIO,A1,Passive,0,-400
Pin,GNDIO,A16,Passive,0,-500
Pin,GNDIO,B15,Passive,0,-600
Pin,GNDIO,B2,Passive,0,-700
Pin,GNDIO,G10,Passive,0,-800
Pin,GNDIO,G7,Passive,0,-900
Pin,GNDIO,G8,Passive,0,-1000
Pin,GNDIO,G9,Passive,0,-1100
Pin,GNDIO,K10,Passive,0,-1200
Pin,GNDIO,K7,Passive,0,-1300
Pin,GNDIO,K8,Passive,0,-1400
Pin,GNDIO,K9,Passive,0,-1500
Pin,GNDIO,R15,Passive,0,-1600
Pin,GNDIO,R2,Passive,0,-1700
Pin,GNDIO,T1,Passive,0,-1800
Pin,GNDIO,T16,Passive,0,-1900
Pin,VCCINT(1.8V),H10,Passive,0,-2000
Pin,VCCINT(1.8V),H8,Passive,0,-2100
Pin,VCCINT(1.8V),J7,Passive,0,-2200
Pin,VCCINT(1.8V),J9,Passive,0,-2300
Pin,IO1,C2,I/O,500,0
Pin,IO1,C3,I/O,500,-100
Pin,IO1,D1,I/O,500,-200
Pin,IO1,D2,I/O,500,-300
Pin,IO1,D3,I/O,500,-400
Pin,IO1,E1,I/O,500,-500
Pin,IO1,E2,I/O,500,-600
Pin,IO1,E3,I/O,500,-700
Pin,IO1,E4,I/O,500,-800
Pin,IO1,E5,I/O,500,-900
Pin,IO1,F1,I/O,500,-1000
Pin,IO1,F2,I/O,500,-1100
Pin,IO1,F3,I/O,500,-1200
Pin,IO1,F4,I/O,500,-1300
Pin,IO1,F5,I/O,500,-1400
Pin,IO1,F6,I/O,500,-1500
Pin,IO1,G1,I/O,500,-1600
Pin,IO1,G2,I/O,500,-1700
Pin,IO1,G3,I/O,500,-1800
Pin,IO1,G4,I/O,500,-1900
Pin,IO1,G5,I/O,500,-2000
Pin,IO1,G6,I/O,500,-2100
Pin,IO1,H1,I/O,500,-2200
Pin,IO1,H2,I/O,500,-2300
Pin,IO1,H3,I/O,500,-2400
Pin,IO1,H4,I/O,500,-2500
Pin,IO1,H5,I/O,500,-2600
Pin,IO1,J1,Input,500,-2700
Pin,IO1,J2,I/O,500,-2800
Pin,IO1,J3,I/O,500,-2900
Pin,IO1,J4,I/O,500,-3000
Pin,IO1,J5,I/O,500,-3100
Pin,IO1,K1,I/O,500,-3200
Pin,IO1,K2,I/O,500,-3300
Pin,IO1,K3,I/O,500,-3400
Pin,IO1,K4,I/O,500,-3500
Pin,IO1,K5,I/O,500,-3600
Pin,IO1,K6,I/O,500,-3700
Pin,IO1,L1,I/O,500,-3800
Pin,IO1,L2,I/O,500,-3900
Pin,IO1,L3,I/O,500,-4000
Pin,IO1,L4,I/O,500,-4100
Pin,IO1,L5,I/O,500,-4200
Pin,IO1,M1,I/O,500,-4300
Pin,IO1,M2,I/O,500,-4400
Pin,IO1,M3,I/O,500,-4500
Pin,IO1,M4,I/O,500,-4600
Pin,IO1,N1,I/O,500,-4700
Pin,IO1,N2,I/O,500,-4800
Pin,IO1,N3,I/O,500,-4900
Pin,IO1,P2,I/O,500,-5000
Pin,TCK,P3,Input,500,-5100
Pin,TDI,L6,Input,500,-5200
Pin,TDO,M5,Output,500,-5300
Pin,TMS,N4,Input,500,-5400
Pin,VCCIO1(3.3V),C1,Passive,500,-5500
Pin,VCCIO1(3.3V),H6,Passive,500,-5600
Pin,VCCIO1(3.3V),J6,Passive,500,-5700
Pin,VCCIO1(3.3V),P1,Passive,500,-5800
Pin,IO2,A10,I/O,1000,0
Pin,IO2,A11,I/O,1000,-100
Pin,IO2,A12,I/O,1000,-200
Pin,IO2,A13,I/O,1000,-300
Pin,IO2,A15,I/O,1000,-400
Pin,IO2,A2,I/O,1000,-500
Pin,IO2,A4,I/O,1000,-600
Pin,IO2,A5,I/O,1000,-700
Pin,IO2,A6,I/O,1000,-800
Pin,IO2,A7,I/O,1000,-900
Pin,IO2,A8,I/O,1000,-1000
Pin,IO2,A9,I/O,1000,-1100
Pin,IO2,B1,I/O,1000,-1200
Pin,IO2,B10,I/O,1000,-1300
Pin,IO2,B11,I/O,1000,-1400
Pin,IO2,B12,I/O,1000,-1500
Pin,IO2,B13,I/O,1000,-1600
Pin,IO2,B14,I/O,1000,-1700
Pin,IO2,B16,I/O,1000,-1800
Pin,IO2,B3,I/O,1000,-1900
Pin,IO2,B4,I/O,1000,-2000
Pin,IO2,B5,I/O,1000,-2100
Pin,IO2,B6,I/O,1000,-2200
Pin,IO2,B7,I/O,1000,-2300
Pin,IO2,B8,I/O,1000,-2400
Pin,IO2,B9,I/O,1000,-2500
Pin,IO2,C10,I/O,1000,-2600
Pin,IO2,C11,I/O,1000,-2700
Pin,IO2,C12,I/O,1000,-2800
Pin,IO2,C13,I/O,1000,-2900
Pin,IO2,C4,I/O,1000,-3000
Pin,IO2,C5,I/O,1000,-3100
Pin,IO2,C6,I/O,1000,-3200
Pin,IO2,C7,I/O,1000,-3300
Pin,IO2,C8,I/O,1000,-3400
Pin,IO2,C9,I/O,1000,-3500
Pin,IO2,D10,I/O,1000,-3600
Pin,IO2,D11,I/O,1000,-3700
Pin,IO2,D12,I/O,1000,-3800
Pin,IO2,D4,I/O,1000,-3900
Pin,IO2,D5,I/O,1000,-4000
Pin,IO2,D6,I/O,1000,-4100
Pin,IO2,D7,I/O,1000,-4200
Pin,IO2,D8,I/O,1000,-4300
Pin,IO2,D9,I/O,1000,-4400
Pin,IO2,E10,I/O,1000,-4500
Pin,IO2,E11,I/O,1000,-4600
Pin,IO2,E6,I/O,1000,-4700
Pin,IO2,E7,I/O,1000,-4800
Pin,IO2,E8,I/O,1000,-4900
Pin,IO2,E9,I/O,1000,-5000
Pin,IO2,F10,I/O,1000,-5100
Pin,IO2,F7,I/O,1000,-5200
Pin,VCCIO2(3.3V),A14,Passive,1000,-5300
Pin,VCCIO2(3.3V),A3,Passive,1000,-5400
Pin,VCCIO2(3.3V),F8,Passive,1000,-5500
Pin,VCCIO2(3.3V),F9,Passive,1000,-5600
Pin,IO3,C14,I/O,1500,0
Pin,IO3,C15,I/O,1500,-100
Pin,IO3,D13,I/O,1500,-200
Pin,IO3,D14,I/O,1500,-300
Pin,IO3,D15,I/O,1500,-400
Pin,IO3,D16,I/O,1500,-500
Pin,IO3,E12,I/O,1500,-600
Pin,IO3,E13,I/O,1500,-700
Pin,IO3,E14,I/O,1500,-800
Pin,IO3,E15,I/O,1500,-900
Pin,IO3,E16,I/O,1500,-1000
Pin,IO3,F11,I/O,1500,-1100
Pin,IO3,F12,I/O,1500,-1200
Pin,IO3,F13,I/O,1500,-1300
Pin,IO3,F14,I/O,1500,-1400
Pin,IO3,F15,I/O,1500,-1500
Pin,IO3,F16,I/O,1500,-1600
Pin,IO3,G11,I/O,1500,-1700
Pin,IO3,G12,I/O,1500,-1800
Pin,IO3,G13,I/O,1500,-1900
Pin,IO3,G14,I/O,1500,-2000
Pin,IO3,G15,I/O,1500,-2100
Pin,IO3,G16,I/O,1500,-2200
Pin,IO3,H12,I/O,1500,-2300
Pin,IO3,H13,I/O,1500,-2400
Pin,IO3,H14,I/O,1500,-2500
Pin,IO3,H15,I/O,1500,-2600
Pin,IO3,H16,I/O,1500,-2700
Pin,IO3,J12,I/O,1500,-2800
Pin,IO3,J13,I/O,1500,-2900
Pin,IO3,J14,I/O,1500,-3000
Pin,IO3,J15,I/O,1500,-3100
Pin,IO3,J16,Output,1500,-3200
Pin,IO3,K11,I/O,1500,-3300
Pin,IO3,K12,I/O,1500,-3400
Pin,IO3,K13,I/O,1500,-3500
Pin,IO3,K14,I/O,1500,-3600
Pin,IO3,K15,I/O,1500,-3700
Pin,IO3,K16,I/O,1500,-3800
Pin,IO3,L11,I/O,1500,-3900
Pin,IO3,L12,I/O,1500,-4000
Pin,IO3,L13,I/O,1500,-4100
Pin,IO3,L14,I/O,1500,-4200
Pin,IO3,L15,I/O,1500,-4300
Pin,IO3,L16,I/O,1500,-4400
Pin,IO3,M13,I/O,1500,-4500
Pin,IO3,M14,I/O,1500,-4600
Pin,IO3,M15,I/O,1500,-4700
Pin,IO3,M16,I/O,1500,-4800
Pin,IO3,N13,I/O,1500,-4900
Pin,IO3,N14,I/O,1500,-5000
Pin,IO3,N15,I/O,1500,-5100
Pin,IO3,N16,I/O,1500,-5200
Pin,IO3,P14,I/O,1500,-5300
Pin,IO3,P15,I/O,1500,-5400
Pin,VCCIO3(3.3V),C16,Passive,1500,-5500
Pin,VCCIO3(3.3V),H11,Passive,1500,-5600
Pin,VCCIO3(3.3V),J11,Passive,1500,-5700
Pin,VCCIO3(3.3V),P16,Passive,1500,-5800
Pin,IO4,L10,I/O,2000,0
Pin,IO4,L7,I/O,2000,-100
Pin,IO4,M10,I/O,2000,-200
Pin,IO4,M11,I/O,2000,-300
Pin,IO4,M12,I/O,2000,-400
Pin,IO4,M6,I/O,2000,-500
Pin,IO4,M7,I/O,2000,-600
Pin,IO4,M8,I/O,2000,-700
Pin,IO4,M9,I/O,2000,-800
Pin,IO4,N10,I/O,2000,-900
Pin,IO4,N11,I/O,2000,-1000
Pin,IO4,N12,I/O,2000,-1100
Pin,IO4,N5,I/O,2000,-1200
Pin,IO4,N6,I/O,2000,-1300
Pin,IO4,N7,I/O,2000,-1400
Pin,IO4,N8,I/O,2000,-1500
Pin,IO4,N9,I/O,2000,-1600
Pin,IO4,P10,I/O,2000,-1700
Pin,IO4,P11,I/O,2000,-1800
Pin,IO4,P12,I/O,2000,-1900
Pin,IO4,P13,I/O,2000,-2000
Pin,IO4,P4,I/O,2000,-2100
Pin,IO4,P5,I/O,2000,-2200
Pin,IO4,P6,I/O,2000,-2300
Pin,IO4,P7,I/O,2000,-2400
Pin,IO4,P8,I/O,2000,-2500
Pin,IO4,P9,I/O,2000,-2600
Pin,IO4,R1,I/O,2000,-2700
Pin,IO4,R10,I/O,2000,-2800
Pin,IO4,R11,I/O,2000,-2900
Pin,IO4,R12,I/O,2000,-3000
Pin,IO4,R13,I/O,2000,-3100
Pin,IO4,R14,I/O,2000,-3200
Pin,IO4,R16,I/O,2000,-3300
Pin,IO4,R3,I/O,2000,-3400
Pin,IO4,R4,I/O,2000,-3500
Pin,IO4,R5,I/O,2000,-3600
Pin,IO4,R6,I/O,2000,-3700
Pin,IO4,R7,I/O,2000,-3800
Pin,IO4,R8,I/O,2000,-3900
Pin,IO4,R9,I/O,2000,-4000
Pin,IO4,T10,I/O,2000,-4100
Pin,IO4,T11,I/O,2000,-4200
Pin,IO4,T12,I/O,2000,-4300
Pin,IO4,T13,I/O,2000,-4400
Pin,IO4,T15,I/O,2000,-4500
Pin,IO4,T2,I/O,2000,-4600
Pin,IO4,T4,I/O,2000,-4700
Pin,IO4,T5,I/O,2000,-4800
Pin,IO4,T6,I/O,2000,-4900
Pin,IO4,T7,I/O,2000,-5000
Pin,IO4,T8,I/O,2000,-5100
Pin,IO4,T9,I/O,2000,-5200
Pin,VCCIO4(3.3V),L8,Passive,2000,-5300
Pin,VCCIO4(3.3V),L9,Passive,2000,-5400
Pin,VCCIO4(3.3V),T14,Passive,2000,-5500
Pin,VCCIO4(3.3V),T3,Passive,2000,-5600